,Unnamed: 0_x,variable,Eigenvalues_x,cumulative_x,Unnamed: 0_y,Eigenvalues_y,cumulative_y,Unnamed: 0,Eigenvalues,cumulative
0,0,1,0.27975164785647594,0.27975164785647594,0,0.2788879247134434,0.2788879247134434,0,0.2955626193107189,0.2955626193107189
1,1,2,0.2065220556238504,0.4862737034803264,1,0.20801749860308608,0.4869054233165295,1,0.19240147333079385,0.4879640926415128
2,2,3,0.08434917229014631,0.5706228757704727,2,0.0829400972167123,0.5698455205332418,2,0.0893788709363215,0.5773429635778342
3,3,4,0.07313905116026258,0.6437619269307352,3,0.07664728686206967,0.6464928073953115,3,0.07556000948695793,0.6529029730647922
4,4,5,0.061652321865247585,0.7054142487959828,4,0.061052852618345164,0.7075456600136566,4,0.060857674249961025,0.7137606473147532
5,5,6,0.05764006777434226,0.7630543165703251,5,0.05872452841164216,0.7662701884252987,5,0.05497438954413426,0.7687350368588874
6,6,7,0.049287088450351436,0.8123414050206765,6,0.04964253505097585,0.8159127234762745,6,0.05070857611701583,0.8194436129759033
7,7,8,0.042513564276118215,0.8548549692967947,7,0.04253466092502523,0.8584473844012998,7,0.039972580790737865,0.8594161937666411
8,8,9,0.03837797195897845,0.8932329412557731,8,0.03578745243692148,0.8942348368382212,8,0.03653196336666612,0.8959481571333072
9,9,10,0.03060942004540083,0.923842361301174,9,0.030217811286569845,0.9244526481247912,9,0.02948068574151428,0.9254288428748216
10,10,11,0.02358594507276344,0.9474283063739374,10,0.022022089680718445,0.9464747378055096,10,0.022999002819454325,0.948427845694276
11,11,12,0.015984344957936974,0.9634126513318744,11,0.01691696390505304,0.9633917017105624,11,0.01579029547999232,0.9642181411742682
12,12,13,0.013581430411000264,0.9769940817428746,12,0.012792649016439854,0.9761843507270024,12,0.013716150274669795,0.977934291448938
13,13,14,0.012765529154038478,0.9897596108969132,13,0.012043902133971631,0.988228252860974,13,0.00976532097809596,0.987699612427034
14,14,15,0.007490540079986948,0.9972501509769,14,0.009301762983997548,0.9975300158449716,14,0.009071636425073271,0.9967712488521072
15,15,16,0.0027498490230997647,0.9999999999999998,15,0.00246946719659008,0.9999994830415616,15,0.003228726030673409,0.9999999748827804
16,16,17,5.3156023751384137e-33,0.9999999999999998,16,5.169584380091275e-07,0.9999999999999996,16,2.51172193293621e-08,0.9999999999999998
